Centro,Especie,Codigo,AB,DTr,Alt,DCop,ExcCop
CUCOSTA,Pithecellobium dulce,C10-3-1,13.21,41,9.8,15.4,0.3
CUCOSTA,Acacia macracantha,C10-3-10,1.91,15.6,4.4,4.7,0.63
CUCOSTA,Pithecellobium lanceolatum,C10-3-100,0.95,11,6.4,9.5,0.91
CUCOSTA,Salix bonplandiana,C10-3-1000,0.83,10.3,7.7,4.9,0.2
CUCOSTA,Tabebuia rosea,C10-3-1001,0.28,6,2.4,2,0.63
CUCOSTA,Pithecellobium lanceolatum,C10-3-1002,0.51,8.1,4.1,4.3,0.71
CUCOSTA,Pithecellobium lanceolatum,C10-3-1003,1.05,11.6,4.4,5.2,0.84
CUCOSTA,Pithecellobium lanceolatum,C10-3-1004,0.64,9,4.5,4.3,0.84
CUCOSTA,Tabebuia rosea,C10-3-1005,0.28,6,4.3,2.5,0.75
CUCOSTA,Salix bonplandiana,C10-3-1006,1.96,15.8,11.6,5.1,0.42
CUCOSTA,Salix bonplandiana,C10-3-1007,1.54,14,7.7,4.7,0
CUCOSTA,Salix bonplandiana,C10-3-1008,0.64,9,8.7,4.5,0.72
CUCOSTA,Salix bonplandiana,C10-3-1009,1.13,12,7.8,5.4,0.8
CUCOSTA,Pithecellobium lanceolatum,C10-3-101,0.24,5.5,6.9,4.3,0.46
CUCOSTA,Pithecellobium lanceolatum,C10-3-1010,0.5,8,2.4,5.5,0.41
CUCOSTA,Pithecellobium lanceolatum,C10-3-1011,1.17,12.2,3.2,4.8,0.79
CUCOSTA,Tabebuia rosea,C10-3-1012,14.53,43,21.6,10.4,0.78
CUCOSTA,Terminalia catappa,C10-3-1013,2.22,16.8,4.5,5.5,0.62
CUCOSTA,Terminalia catappa,C10-3-1014,2.27,17,8.5,6.3,0.63
CUCOSTA,Terminalia catappa,C10-3-1015,1.24,12.6,5.8,6.6,0.3
CUCOSTA,Enterolobium cyclocarpum,C10-3-1016,18.76,48.9,13.2,17,0.71
CUCOSTA,Guazuma ulmifolia,C10-3-1017,1.16,12.2,4.6,3.8,0.8
CUCOSTA,Guazuma ulmifolia,C10-3-1018,0.85,10.4,2.4,4.1,0
CUCOSTA,Guazuma ulmifolia,C10-3-1019,1.27,12.7,4.3,3.4,0.84
CUCOSTA,Guazuma ulmifolia,C10-3-102,1.03,11.5,4.7,7.3,0.87
CUCOSTA,Guazuma ulmifolia,C10-3-1020,0.21,5.2,3.1,3.3,0.62
CUCOSTA,Guazuma ulmifolia,C10-3-1021,0.3,6.2,2.9,3.6,0.91
CUCOSTA,Guazuma ulmifolia,C10-3-1022,0.35,6.7,2.8,4.2,0.5
CUCOSTA,Salix bonplandiana,C10-3-1023,15.9,45,14.1,8,0.97
CUCOSTA,Pithecellobium lanceolatum,C10-3-1024,8.55,33,8.6,9.9,0.77
CUCOSTA,Pithecellobium lanceolatum,C10-3-1025,0.77,9.9,3.6,4.3,0.49
CUCOSTA,Delonix regia,C10-3-1026,0.45,7.6,5.5,2.5,0.75
CUCOSTA,Acacia macracantha,C10-3-1027,1.85,15.3,2.3,5.4,0.76
CUCOSTA,Acacia macracantha,C10-3-1028,1.66,14.5,3.7,5.3,0.66
CUCOSTA,Acacia macracantha,C10-3-1029,0.64,9,6.5,4.3,0.71
CUCOSTA,Guazuma ulmifolia,C10-3-103,1.65,14.5,5.5,6.4,0.45
CUCOSTA,Acacia macracantha,C10-3-1030,0.64,9,11.3,5.5,0.55
CUCOSTA,Acacia macracantha,C10-3-1031,0.2,5.1,3.9,3.5,0.66
CUCOSTA,Acacia macracantha,C10-3-1032,0.33,6.5,3.3,5.1,0.75
CUCOSTA,Acacia macracantha,C10-3-1033,0.59,8.7,4.3,6.1,0.63
CUCOSTA,Acacia macracantha,C10-3-1034,0.34,6.6,2.8,5.5,0.82
CUCOSTA,Acacia macracantha,C10-3-1035,0.21,5.2,3.5,5.8,0.4
CUCOSTA,Acacia macracantha,C10-3-1036,0.24,5.5,3.7,3.9,0.43
CUCOSTA,Acacia macracantha,C10-3-1037,0.26,5.8,3.6,3.3,0.55
CUCOSTA,Acacia macracantha,C10-3-1038,0.22,5.3,4.4,3.6,0.7
CUCOSTA,Acacia macracantha,C10-3-1039,0.26,5.8,3.1,4,0.43
CUCOSTA,Tabebuia rosea,C10-3-104,14.22,42.5,17.4,10.5,0.44
CUCOSTA,Acacia macracantha,C10-3-1040,0.21,5.2,5.1,3.7,0.78
CUCOSTA,Acacia macracantha,C10-3-1041,0.66,9.2,4.2,3.8,0.44
CUCOSTA,Acacia macracantha,C10-3-1042,0.2,5,4.4,3.4,0.71
CUCOSTA,Pithecellobium lanceolatum,C10-3-1043,1.76,15,4.8,6.2,0.45
CUCOSTA,Pithecellobium lanceolatum,C10-3-1044,0.85,10.4,4.1,6,0.39
CUCOSTA,Pithecellobium lanceolatum,C10-3-1045,1.33,13,7.5,7.3,0.58
CUCOSTA,Acacia macracantha,C10-3-1046,1.18,12.3,9.4,5,0.38
CUCOSTA,Acacia macracantha,C10-3-1047,0.49,7.9,5.3,5.9,0.88
CUCOSTA,Acacia macracantha,C10-3-1048,0.61,8.8,4.2,3.4,0.61
CUCOSTA,Acacia macracantha,C10-3-1049,0.5,8,7.6,4.5,0.68
CUCOSTA,Acacia hindsii,C10-3-105,1.23,12.5,6.8,4.1,0.6
CUCOSTA,Ceiba pentandra,C10-3-1050,0.22,5.3,5,1.4,0.83
CUCOSTA,Guazuma ulmifolia,C10-3-1051,5.38,26.2,4.6,7.9,0.22
CUCOSTA,Pithecellobium lanceolatum,C10-3-1052,16.42,45.7,12.7,11.1,0.57
CUCOSTA,Pithecellobium lanceolatum,C10-3-1053,4.49,23.9,7.4,9.2,0.59
CUCOSTA,Pithecellobium lanceolatum,C10-3-1054,0.69,9.4,4.1,5.8,0.56
CUCOSTA,Pithecellobium lanceolatum,C10-3-1055,7.78,31.5,5.3,7.5,0.48
CUCOSTA,Salix bonplandiana,C10-3-1056,9.32,34.4,10.2,8,0.16
CUCOSTA,Salix bonplandiana,C10-3-1057,10.05,35.8,16.9,6.7,0.51
CUCOSTA,Salix bonplandiana,C10-3-1058,10.06,35.8,9.1,9.6,0.14
CUCOSTA,Salix bonplandiana,C10-3-1059,29.95,61.8,12.7,6.7,0.79
CUCOSTA,Pithecellobium lanceolatum,C10-3-106,0.2,5.1,4.2,3.5,0.4
CUCOSTA,Salix bonplandiana,C10-3-1060,3.4,20.8,8.7,5.5,0.76
CUCOSTA,Salix bonplandiana,C10-3-1061,4.45,23.8,4.8,4.2,0.62
CUCOSTA,Salix bonplandiana,C10-3-1062,4.91,25,8.8,4.7,0.93
CUCOSTA,Salix bonplandiana,C10-3-1063,1.58,14.2,6.8,6.3,0.35
CUCOSTA,Pithecellobium lanceolatum,C10-3-1064,0.48,7.8,5.4,2.9,0.62
CUCOSTA,Salix bonplandiana,C10-3-1065,17.28,46.9,5.5,6.3,0.38
CUCOSTA,Pithecellobium dulce,C10-3-1066,11.59,38.4,10.7,10.3,0.3
CUCOSTA,Pithecellobium dulce,C10-3-1067,2.04,16.1,4.6,4.8,0.89
CUCOSTA,Pithecellobium dulce,C10-3-1068,6.25,28.2,3.7,9.5,0.81
CUCOSTA,Acacia macracantha,C10-3-1069,0.76,9.8,2.8,5.8,0.4
CUCOSTA,Tabebuia rosea,C10-3-107,0.72,9.6,6.8,4.2,0.8
CUCOSTA,Guazuma ulmifolia,C10-3-1070,0.66,9.1,4.5,4.3,0.71
CUCOSTA,Guazuma ulmifolia,C10-3-1071,0.68,9.3,3,2.3,0.6
CUCOSTA,Acacia macracantha,C10-3-1072,1.96,15.8,2.7,11.7,0.45
CUCOSTA,Pithecellobium dulce,C10-3-1073,3.81,22,5.9,10.6,0.45
CUCOSTA,Salix bonplandiana,C10-3-1074,47.07,77.4,10.4,9.2,0.67
CUCOSTA,Salix bonplandiana,C10-3-1075,6.16,28,11.4,6.5,0.44
CUCOSTA,Terminalia catappa,C10-3-1076,0.33,6.5,5.3,4.8,0.39
CUCOSTA,Salix bonplandiana,C10-3-1077,2.22,16.8,7.5,5.2,0.59
CUCOSTA,Salix bonplandiana,C10-3-1078,15.53,44.5,10.9,7.8,0.5
CUCOSTA,Pithecellobium lanceolatum,C10-3-1079,1.97,15.8,5.9,4.9,0.2
CUCOSTA,Bursera simaruba,C10-3-108,2.85,19.1,4.5,4.7,0.8
CUCOSTA,Salix bonplandiana,C10-3-1080,2.69,18.5,9.4,8.5,0.84
CUCOSTA,Salix bonplandiana,C10-3-1081,1.92,15.6,6.5,5.2,0.74
CUCOSTA,Salix bonplandiana,C10-3-1082,24.17,55.5,16.3,8.1,0.86
CUCOSTA,Salix bonplandiana,C10-3-1083,4.3,23.4,10.2,8.3,0.34
CUCOSTA,Salix bonplandiana,C10-3-1084,3.14,20,8,5.6,0.5
CUCOSTA,Pithecellobium lanceolatum,C10-3-1085,1.22,12.5,4.3,6.3,0.75
CUCOSTA,Pithecellobium lanceolatum,C10-3-1086,11.55,38.4,3.1,3.5,0.54
CUCOSTA,Pithecellobium dulce,C10-3-1087,0.99,11.2,15.4,11.4,0.62
CUCOSTA,Pithecellobium dulce,C10-3-1088,4.54,24,4.7,8,0.22
CUCOSTA,Pithecellobium lanceolatum,C10-3-1089,0.61,8.8,3.3,3.4,0.51
CUCOSTA,Pithecellobium lanceolatum,C10-3-109,0.44,7.5,4.7,5.7,0.19
CUCOSTA,Pithecellobium lanceolatum,C10-3-1090,1.08,11.7,3.4,3.8,0.23
CUCOSTA,Pithecellobium dulce,C10-3-1091,1.43,13.5,4.6,5.7,0.19
CUCOSTA,Pithecellobium lanceolatum,C10-3-1092,3.89,22.2,4.8,7.3,0.39
CUCOSTA,Pithecellobium lanceolatum,C10-3-1093,0.24,5.5,1.5,2.9,0.36
CUCOSTA,Pithecellobium lanceolatum,C10-3-1094,0.77,9.9,3,4.1,0.78
CUCOSTA,Pithecellobium dulce,C10-3-1095,2.38,17.4,4.5,6.4,0.8
CUCOSTA,Pithecellobium lanceolatum,C10-3-1096,0.38,7,3.3,1.9,0.44
CUCOSTA,Pithecellobium lanceolatum,C10-3-1097,8.24,32.4,13.1,11.7,0.31
CUCOSTA,Enterolobium cyclocarpum,C10-3-1098,14.28,42.6,10.3,15.5,0.35
CUCOSTA,Pithecellobium lanceolatum,C10-3-1099,0.78,9.9,7.3,2.4,0.63
CUCOSTA,Guazuma ulmifolia,C10-3-11,0.69,9.4,2.6,5.4,0.37
CUCOSTA,Pithecellobium lanceolatum,C10-3-110,0.42,7.3,4.7,4.1,0.22
CUCOSTA,Pithecellobium dulce,C10-3-1100,2.49,17.8,3,9.1,0.61
CUCOSTA,Pithecellobium lanceolatum,C10-3-1101,0.64,9.1,3.8,3.6,0.53
CUCOSTA,Acacia macracantha,C10-3-1102,0.73,9.6,2,4.3,0.59
CUCOSTA,Guazuma ulmifolia,C10-3-1103,1.24,12.5,4,4,0.89
CUCOSTA,Guazuma ulmifolia,C10-3-1104,0.78,10,3,9.3,0.46
CUCOSTA,Acacia macracantha,C10-3-1105,1.08,11.7,1.9,6.5,0.52
CUCOSTA,Pithecellobium lanceolatum,C10-3-1106,23.75,55,12.4,11.1,0.63
CUCOSTA,Pithecellobium lanceolatum,C10-3-1107,5.6,26.7,6,8.3,0.34
CUCOSTA,Enterolobium cyclocarpum,C10-3-1108,6.9,29.6,4.5,11.7,0.45
CUCOSTA,Salix bonplandiana,C10-3-1109,0.38,7,5.2,2.7,0.45
CUCOSTA,Pithecellobium lanceolatum,C10-3-111,8.36,32.6,10.3,10,0.45
CUCOSTA,Enterolobium cyclocarpum,C10-3-1110,3.87,22.2,3.2,4.6,0.4
CUCOSTA,Enterolobium cyclocarpum,C10-3-1111,0.33,6.5,2.5,4.4,0.61
CUCOSTA,Pithecellobium lanceolatum,C10-3-1112,15.6,44.6,10.6,11.1,0.64
CUCOSTA,Pithecellobium lanceolatum,C10-3-1113,16.94,46.4,9.7,14.4,0.3
CUCOSTA,Pithecellobium lanceolatum,C10-3-1114,0.94,10.9,1.5,2.2,0.55
CUCOSTA,Pithecellobium dulce,C10-3-1115,2.01,16,3.4,3.2,0.6
CUCOSTA,Pithecellobium dulce,C10-3-1116,4.37,23.6,6.8,9.9,0.36
CUCOSTA,Pithecellobium lanceolatum,C10-3-1117,0.57,8.5,5.7,3.4,0.41
CUCOSTA,Acacia macracantha,C10-3-1118,0.62,8.9,1.6,5.1,0.42
CUCOSTA,Enterolobium cyclocarpum,C10-3-1119,25.69,57.2,20.9,15.6,0.11
CUCOSTA,Pithecellobium lanceolatum,C10-3-112,0.61,8.8,2.3,4,0.55
CUCOSTA,Acacia macracantha,C10-3-1120,3.12,19.9,9.8,11.9,0.33
CUCOSTA,Acacia macracantha,C10-3-1121,0.55,8.4,4.7,8.1,0.22
CUCOSTA,Acacia macracantha,C10-3-1122,2.03,16.1,6.1,9.4,0.51
CUCOSTA,Pithecellobium lanceolatum,C10-3-1123,5.73,27,6.7,11,0.26
CUCOSTA,Guazuma ulmifolia,C10-3-1124,1.67,14.6,6.3,6.9,0.4
CUCOSTA,Pithecellobium dulce,C10-3-1125,1.69,14.7,5.6,5.3,0.73
CUCOSTA,Guazuma ulmifolia,C10-3-1126,2.64,18.3,5.7,6.9,0.43
CUCOSTA,Acacia macracantha,C10-3-1127,2.08,16.3,3.8,5.7,0.73
CUCOSTA,Acacia macracantha,C10-3-1128,0.4,7.1,1.9,3.9,0.88
CUCOSTA,Guazuma ulmifolia,C10-3-1129,0.79,10,2.7,6.9,0.24
CUCOSTA,Tabebuia rosea,C10-3-113,4.12,22.9,13.9,6.5,0.76
CUCOSTA,Pithecellobium lanceolatum,C10-3-1130,0.58,8.6,4.8,6,0.35
CUCOSTA,Pithecellobium dulce,C10-3-1131,3.79,22,8.2,9.4,0.4
CUCOSTA,Pithecellobium dulce,C10-3-1132,4.56,24.1,9.1,10.3,0.33
CUCOSTA,Acacia macracantha,C10-3-1133,1.41,13.4,3.7,7.6,0.5
CUCOSTA,Pithecellobium dulce,C10-3-1134,0.42,7.3,2.5,3.9,0.48
CUCOSTA,Acacia macracantha,C10-3-1135,0.82,10.2,4,5.9,0.72
CUCOSTA,Guazuma ulmifolia,C10-3-1136,4.47,23.8,8.8,6.8,0.6
CUCOSTA,Acacia macracantha,C10-3-1137,2.15,16.5,5.8,8.7,0.63
CUCOSTA,Acacia macracantha,C10-3-1138,1.22,12.5,3,4.8,0.86
CUCOSTA,Acacia macracantha,C10-3-1139,1.04,11.5,5.2,6.4,0.56
CUCOSTA,Pithecellobium lanceolatum,C10-3-114,1.24,12.6,5.9,8.2,0.57
CUCOSTA,Acacia macracantha,C10-3-1140,2.27,17,8.2,8.9,0.38
CUCOSTA,Guazuma ulmifolia,C10-3-1141,1.97,15.8,7.2,7.4,0.55
CUCOSTA,Pithecellobium lanceolatum,C10-3-1142,0.95,11,10.1,6.5,0.58
CUCOSTA,Pithecellobium dulce,C10-3-1143,11.18,37.7,9.8,10,0.28
CUCOSTA,Pithecellobium dulce,C10-3-1144,8.78,33.4,8.1,8.9,0.26
CUCOSTA,Acacia macracantha,C10-3-1145,1.8,15.1,7.2,8.4,0.26
CUCOSTA,Acacia macracantha,C10-3-1146,0.37,6.9,5.1,4.6,0.57
CUCOSTA,Pithecellobium lanceolatum,C10-3-1147,0.74,9.7,6.1,8,0.27
CUCOSTA,Pithecellobium lanceolatum,C10-3-1148,0.74,9.7,8.9,4.1,0.22
CUCOSTA,Pithecellobium dulce,C10-3-1149,0.66,9.2,6.7,4.9,0.53
CUCOSTA,Pithecellobium lanceolatum,C10-3-115,2.49,17.8,6.2,7,0.78
CUCOSTA,Acacia macracantha,C10-3-1150,1.11,11.9,6.9,6.4,0.47
CUCOSTA,Acacia macracantha,C10-3-1151,1.48,13.7,8,7,0.48
CUCOSTA,Acacia macracantha,C10-3-1152,1.19,12.3,4.4,6.3,0.55
CUCOSTA,Enterolobium cyclocarpum,C10-3-1153,4.9,25,7.6,8.2,0.34
CUCOSTA,Acacia macracantha,C10-3-1154,1.25,12.6,4,5.2,0.61
CUCOSTA,Pithecellobium dulce,C10-3-1155,1.23,12.5,,4.0,0.47
CUCOSTA,Acacia macracantha,C10-3-1156,0.71,9.5,3.3,5.7,0.52
CUCOSTA,Acacia macracantha,C10-3-1157,0.43,7.4,1.5,6.2,0.48
CUCOSTA,Acacia macracantha,C10-3-1158,0.86,10.5,3.4,7.4,0.47
CUCOSTA,Pithecellobium dulce,C10-3-1159,2.75,18.7,7.8,7.7,0.58
CUCOSTA,Bursera simaruba,C10-3-116,1.72,14.8,4.6,5.8,0.64
CUCOSTA,Acacia macracantha,C10-3-1160,1.62,14.4,5.1,7.2,0
CUCOSTA,Guazuma ulmifolia,C10-3-1161,1.61,14.3,7,7.6,0.5
CUCOSTA,Acacia macracantha,C10-3-1162,2.57,18.1,6.5,7.9,0.67
CUCOSTA,Acacia macracantha,C10-3-1163,0.36,6.8,2.2,4.6,0.7
CUCOSTA,Pithecellobium lanceolatum,C10-3-1164,2.31,17.2,6.1,8.2,0.27
CUCOSTA,Pithecellobium lanceolatum,C10-3-1165,3.6,21.4,8.8,7,0.4
CUCOSTA,Acacia macracantha,C10-3-1166,2.32,17.2,7.6,9,0.33
CUCOSTA,Pithecellobium lanceolatum,C10-3-1167,2.06,16.2,7.6,7.7,0.63
CUCOSTA,Acacia macracantha,C10-3-1168,1.27,12.7,7.3,6.3,0.86
CUCOSTA,Acacia macracantha,C10-3-1169,1.23,12.5,6,6.5,0.76
CUCOSTA,Acacia macracantha,C10-3-1170,1,11.3,4.6,7.2,0.81
CUCOSTA,Pithecellobium dulce,C10-3-1171,1.35,13.1,5.7,8.1,0.51
CUCOSTA,Guazuma ulmifolia,C10-3-1172,2.47,17.7,6.8,10.4,0.33
CUCOSTA,Acacia macracantha,C10-3-1173,1.53,14,4.5,6,0.35
CUCOSTA,Acacia macracantha,C10-3-1174,0.47,7.7,1.7,4.2,0.64
CUCOSTA,Acacia macracantha,C10-3-1175,1.04,11.5,3.5,9.1,0.38
CUCOSTA,Acacia macracantha,C10-3-1176,1.74,14.9,7.8,9.5,0.37
CUCOSTA,Pithecellobium lanceolatum,C10-3-1177,0.37,6.9,6.4,4.8,0.2
CUCOSTA,Guazuma ulmifolia,C10-3-1178,0.42,7.3,6,4.5,0.55
CUCOSTA,Enterolobium cyclocarpum,C10-3-1179,27.58,59.3,14.7,12.2,0.25
CUCOSTA,Pithecellobium lanceolatum,C10-3-118,2.99,19.5,12.6,11.3,0.44
CUCOSTA,Guazuma ulmifolia,C10-3-1180,3.37,20.7,6.3,8.4,0.5
CUCOSTA,Enterolobium cyclocarpum,C10-3-1181,0.42,7.3,4.1,5.7,0.74
CUCOSTA,Guazuma ulmifolia,C10-3-1182,0.41,7.2,5,5.3,0.63
CUCOSTA,Guazuma ulmifolia,C10-3-1183,2.3,17.1,8.4,10.4,0.7
CUCOSTA,Acacia macracantha,C10-3-1184,1,11.3,5.4,8.6,0.69
CUCOSTA,Pithecellobium lanceolatum,C10-3-1185,3.14,20,8.2,5.1,0.75
CUCOSTA,Pithecellobium lanceolatum,C10-3-1186,1.31,12.9,10.3,7.2,0.7
CUCOSTA,Enterolobium cyclocarpum,C10-3-1187,12.88,40.5,17.1,12,0.22
CUCOSTA,Enterolobium cyclocarpum,C10-3-1188,40.05,71.4,18.3,19.4,0.5
CUCOSTA,Guazuma ulmifolia,C10-3-1189,8.37,32.7,7.9,13.1,0.69
CUCOSTA,Pithecellobium lanceolatum,C10-3-119,1.33,13,6.9,6.2,0.3
CUCOSTA,Guazuma ulmifolia,C10-3-1190,2.73,18.7,7.2,7.2,0.69
CUCOSTA,Guazuma ulmifolia,C10-3-1191,0.59,8.7,4.8,3.2,0.52
CUCOSTA,Guazuma ulmifolia,C10-3-1192,2.39,17.4,9.3,5.9,0.43
CUCOSTA,Guazuma ulmifolia,C10-3-1193,2.58,18.1,10.4,5.4,0.7
CUCOSTA,Guazuma ulmifolia,C10-3-1194,1.59,14.2,8.6,4.1,0.67
CUCOSTA,Pithecellobium lanceolatum,C10-3-1195,3.17,20.1,6,8.1,0.22
CUCOSTA,Acacia macracantha,C10-3-1196,1.31,12.9,5.3,7.1,0.23
CUCOSTA,Acacia macracantha,C10-3-1197,1.28,12.7,3.7,5.7,0.47
CUCOSTA,Enterolobium cyclocarpum,C10-3-1198,11.97,39,7.8,10.7,0.33
CUCOSTA,Pithecellobium dulce,C10-3-1199,2.11,16.4,3.5,6.4,0.47
CUCOSTA,Tabebuia rosea,C10-3-12,5.35,26.1,9.9,8.9,0.52
CUCOSTA,Pithecellobium lanceolatum,C10-3-120,10.09,35.8,10,11.9,0.71
CUCOSTA,Acacia macracantha,C10-3-1200,3.58,21.3,4.1,8.1,0.22
CUCOSTA,Pithecellobium dulce,C10-3-1201,0.57,8.5,3.7,3.8,0.48
CUCOSTA,Pithecellobium lanceolatum,C10-3-1202,0.98,11.2,,7.2,0.70
CUCOSTA,Pithecellobium lanceolatum,C10-3-1203,0.35,6.7,6.1,4.2,0.42
CUCOSTA,Enterolobium cyclocarpum,C10-3-1204,23.8,55,10.9,13.4,0.59
CUCOSTA,Pithecellobium lanceolatum,C10-3-1205,5.35,26.1,9,9,0.77
CUCOSTA,Acacia macracantha,C10-3-1206,1.56,14.1,5.6,8.1,0.45
CUCOSTA,Pithecellobium lanceolatum,C10-3-1207,0.82,10.2,7.2,7,0.75
CUCOSTA,Pithecellobium lanceolatum,C10-3-1208,2.41,17.5,11.6,10,0.76
CUCOSTA,Acacia hindsii,C10-3-1209,2.97,19.4,6,7.1,0.65
CUCOSTA,Pithecellobium lanceolatum,C10-3-121,2.72,18.6,11.4,11.5,0.82
CUCOSTA,Pithecellobium lanceolatum,C10-3-1211,6.43,28.6,16.7,12.1,0.55
CUCOSTA,Pithecellobium lanceolatum,C10-3-1212,12.19,39.4,10.7,13.4,0.58
CUCOSTA,Pithecellobium lanceolatum,C10-3-1213,0.5,8,3.8,7.3,0.39
CUCOSTA,Pithecellobium lanceolatum,C10-3-1214,1.58,14.2,6,7.5,0.48
CUCOSTA,Pithecellobium lanceolatum,C10-3-1215,5.27,25.9,9.3,9.3,0.37
CUCOSTA,Pithecellobium lanceolatum,C10-3-1216,14.4,42.8,8.4,11.5,0.42
CUCOSTA,Pithecellobium lanceolatum,C10-3-1217,0.47,7.7,3.8,4.7,0.84
CUCOSTA,Pithecellobium lanceolatum,C10-3-1218,1.88,15.5,6.4,5.6,0.69
CUCOSTA,Pithecellobium lanceolatum,C10-3-1219,0.76,9.8,4.6,6.1,0.57
CUCOSTA,Pithecellobium lanceolatum,C10-3-122,0.53,8.2,11,3.9,0.22
CUCOSTA,Pithecellobium lanceolatum,C10-3-1220,3.61,21.4,6.7,8.1,0.6
CUCOSTA,Pithecellobium lanceolatum,C10-3-1221,1.76,15,2.4,7.3,0.79
CUCOSTA,Pithecellobium lanceolatum,C10-3-1222,6.67,29.1,10.7,7.7,0.41
CUCOSTA,Pithecellobium lanceolatum,C10-3-1223,5.92,27.5,7.4,64.5,0.99
CUCOSTA,Pithecellobium lanceolatum,C10-3-1224,0.42,7.3,1.8,5,0.2
CUCOSTA,Pithecellobium lanceolatum,C10-3-1226,9.99,35.7,8.8,11.7,0.69
CUCOSTA,Pithecellobium lanceolatum,C10-3-1227,4.6,24.2,7.6,9.7,0.34
CUCOSTA,Pithecellobium lanceolatum,C10-3-1228,12.96,40.6,13.9,11.5,0.4
CUCOSTA,Pithecellobium lanceolatum,C10-3-1229,1.13,12,8,7.5,0.28
CUCOSTA,Pithecellobium lanceolatum,C10-3-123,1.23,12.5,7.8,5.4,0.41
CUCOSTA,Pithecellobium lanceolatum,C10-3-1230,3.76,21.9,5.9,10.7,0.35
CUCOSTA,Pithecellobium lanceolatum,C10-3-1231,5.76,27.1,9.6,10.3,0.49
CUCOSTA,Pithecellobium lanceolatum,C10-3-1232,0.61,8.8,7.8,6,0.31
CUCOSTA,Pithecellobium lanceolatum,C10-3-1233,8.89,33.6,12.1,10.8,0.37
CUCOSTA,Pithecellobium lanceolatum,C10-3-1234,0.23,5.4,3.3,6.3,0.35
CUCOSTA,Pithecellobium lanceolatum,C10-3-1235,2.8,18.9,9.2,6.6,0.38
CUCOSTA,Pithecellobium lanceolatum,C10-3-1236,0.22,5.3,9.4,6.9,0.29
CUCOSTA,Pithecellobium lanceolatum,C10-3-1237,5.23,25.8,14.4,3,0.86
CUCOSTA,Pithecellobium dulce,C10-3-1238,5.29,26,16.6,7,0.5
CUCOSTA,Pithecellobium lanceolatum,C10-3-1239,0.2,5,2.9,3.8,0.71
CUCOSTA,Pithecellobium lanceolatum,C10-3-124,1.04,11.5,6,5.6,0.41
CUCOSTA,Pithecellobium lanceolatum,C10-3-1240,0.36,6.8,6.2,4.4,0.67
CUCOSTA,Pithecellobium dulce,C10-3-1241,8.21,32.3,8.1,12.7,0.69
CUCOSTA,Pithecellobium lanceolatum,C10-3-1242,7.04,29.9,10.8,10.9,0.19
CUCOSTA,Pithecellobium lanceolatum,C10-3-1243,4.39,23.6,12.5,10.9,0.81
CUCOSTA,Pithecellobium lanceolatum,C10-3-1244,1.97,15.8,4.9,6.2,0.69
CUCOSTA,Bursera simaruba ,C10-3-1245,0.31,6.3,3.8,2.6,0.78
CUCOSTA,Pithecellobium lanceolatum,C10-3-1246,0.62,8.9,6.9,6.1,0.87
CUCOSTA,Pithecellobium lanceolatum,C10-3-1247,17.26,46.9,10.1,16.3,0.27
CUCOSTA,Pithecellobium lanceolatum,C10-3-1248,7.15,30.2,10.3,13.9,0.47
CUCOSTA,Pithecellobium lanceolatum,C10-3-1249,8.21,32.3,12.3,14.3,0.78
CUCOSTA,Pithecellobium lanceolatum,C10-3-125,5.11,25.5,9.5,12.2,0.65
CUCOSTA,Pithecellobium lanceolatum,C10-3-1250,0.52,8.1,2.1,4.8,0.81
CUCOSTA,Pithecellobium lanceolatum,C10-3-1251,13.09,40.8,12.6,11.9,0.22
CUCOSTA,Pithecellobium lanceolatum,C10-3-1252,16.26,45.5,12.5,11.4,0.19
CUCOSTA,Pithecellobium lanceolatum,C10-3-1253,5.04,25.3,11.7,7.7,0.41
CUCOSTA,Pithecellobium lanceolatum,C10-3-1254,1.09,11.8,4,5.7,0.44
CUCOSTA,Pithecellobium lanceolatum,C10-3-1255,9.32,34.5,14.6,7.2,0.28
CUCOSTA,Pithecellobium lanceolatum,C10-3-1256,3.5,21.1,16.5,5.1,0.61
CUCOSTA,Pithecellobium lanceolatum,C10-3-1257,0.36,6.8,4,7.1,0.66
CUCOSTA,Pithecellobium lanceolatum,C10-3-1258,1.45,13.6,10.6,8.2,0.3
CUCOSTA,Pithecellobium lanceolatum,C10-3-1259,17.88,47.7,11.1,7.6,0.16
CUCOSTA,Pithecellobium lanceolatum,C10-3-126,3.8,22,7.9,7.7,0.55
CUCOSTA,Pithecellobium lanceolatum,C10-3-1260,3.28,20.4,3.4,14.2,0.45
CUCOSTA,Pithecellobium lanceolatum,C10-3-1261,11.25,37.8,11.4,12.4,0.13
CUCOSTA,Pithecellobium lanceolatum,C10-3-1262,13.88,42,11.8,12.8,0.25
CUCOSTA,Pithecellobium lanceolatum,C10-3-1263,12.96,40.6,7.3,10.4,0.24
CUCOSTA,Pithecellobium lanceolatum,C10-3-1264,11.46,38.2,12.2,12.2,0.13
CUCOSTA,Pithecellobium lanceolatum,C10-3-1265,1.89,15.5,7.7,4.6,0.57
CUCOSTA,Pithecellobium lanceolatum,C10-3-1266,7.11,30.1,11,10.6,0.45
CUCOSTA,Pithecellobium lanceolatum,C10-3-1267,11.68,38.6,10.6,10.2,0.53
CUCOSTA,Pithecellobium lanceolatum,C10-3-1268,1.65,14.5,4.3,3.4,0.65
